,Agent,Value,Consumption,i_a,m
0,S0,-11.214012483822286,1.3841560410505123,0.25,0.5
1,S1,-8.401561110358905,1.3161704698894845,0.25,0.5
2,S2,-10.87503937266491,1.3841561525673618,0.25,0.5
3,S3,-10.772995305575332,1.4997802411955072,0.25,0.5
4,S4,-10.551703256581028,1.1151394727520263,0.25,0.5
5,S5,-9.54008385692663,1.2978118628878441,0.25,0.5
6,S6,-6.73961270375344,1.1903893722969605,0.25,0.5
7,S7,-6.70599894628423,1.1626864762304148,0.25,0.5
8,S8,-7.644113851363292,1.4233301260177458,0.25,0.5
9,S9,-6.243423768369971,1.2335004042188684,0.25,0.5
10,S10,-7.72863682786884,3.50345692143894,0.25,0.5
11,S11,-7.300008311630249,3.44447787638956,0.25,0.5
12,S12,-19.392250820565444,0.18802960343677225,0.25,0.5
13,S13,-7.20169182682069,5.014682117227844,0.25,0.5
14,S14,-6.272096506277869,3.69942974542982,0.25,0.5
15,S15,-14.172373525185186,0.18802960343677225,0.25,0.5
16,S16,-5.22304198183234,4.593265391637598,0.25,0.5
17,S17,-15.14900306467343,0.18802960343677225,0.25,0.5
18,S18,-15.535708973227987,0.18802960343677225,0.25,0.5
19,S19,-13.315605222910143,0.18802960343677225,0.25,0.5
20,S20,-1.991231497031861,0.9052574792511512,0.25,0.5
21,S21,-0.5726909753296123,0.9482434682500738,0.25,0.5
22,S22,-1.2043500780500984,0.9410492949632351,0.25,0.5
23,S23,-2.0631321979201784,0.9052581475983641,0.25,0.5
24,S24,-9.941106906306468,1.4059162941695662,0.25,0.5
25,S25,-10.322707662762449,1.2291093948491636,0.25,0.5
26,S26,-10.011209045611523,1.2189307497248814,0.25,0.5
27,S27,-8.963814034998478,1.3909612751003193,0.25,0.5
28,S28,0.2593960608156902,1.0121987233556724,0.25,0.5
29,S29,-9.669462918862859,1.2189303340180282,0.25,0.5
30,S30,-6.370100242083565,4.298926991557638,0.25,0.5
31,S31,-5.814611927975214,4.366651687486456,0.25,0.5
32,S32,-5.975347380874776,4.833710502743141,0.25,0.5
33,S33,-7.372988076850397,2.2989264897934274,0.25,0.5
34,S34,-4.6633994649296495,3.9621129691076944,0.25,0.5
35,S35,-5.5519797148058325,2.2473514195028006,0.25,0.5
36,S36,-5.270036496648591,2.0450929561817524,0.25,0.5
37,S37,-3.591056175699866,4.638690050958441,0.25,0.5
38,S38,-6.642729280256033,2.5679521541943138,0.25,0.5
39,S39,-4.969117880599444,2.2183753116919567,0.25,0.5
40,S40,-12.287182253017752,0.7148402733405824,0.25,0.5
41,S41,-12.705262284606562,0.7148395906507632,0.25,0.5
42,S42,-6.450313590795243,2.2083708670518787,0.25,0.5
43,S43,-15.00519319018058,0.7148388720969835,0.25,0.5
44,S44,-14.681396769655596,0.7148390440552672,0.25,0.5
45,S45,-9.324099346667815,1.6801673123028593,0.25,0.5
46,S46,-18.611604827276224,0.7148398160272773,0.25,0.5
47,S47,-8.699441068954368,2.311567493506819,0.25,0.5
48,S48,-7.739362860640572,1.6122234368720902,0.25,0.5
49,S49,-9.545692605049783,1.6739391284483605,0.25,0.5
50,S50,4.740423855839461,1.2051826267812134,0.25,0.5
51,S51,4.0507797635980705,1.2640804731578041,0.25,0.5
52,S52,0.4963389057746632,0.7990711429252036,0.25,0.5
53,S53,5.8606625388821305,1.0283329808273953,0.25,0.5
54,S54,-3.6092091229486973,1.423282544755511,0.25,0.5
55,S55,-5.606122147860228,0.7454186336517313,0.25,0.5
56,S56,-3.149842036346052,1.9450221051444294,0.25,0.5
57,S57,-7.796715065237041,0.7154665735955564,0.25,0.5
58,S58,0.12595356986977818,0.6350164551817714,0.25,0.5
59,S59,-6.352142416798388,0.7154676992441685,0.25,0.5
60,S60,-8.205027504988612,1.89318935888504,0.25,0.5
61,S61,-8.44951539536257,1.908027337020478,0.25,0.5
62,S62,-7.79827988400909,1.947755419339737,0.25,0.5
63,S63,-8.703962342645276,1.422391275429276,0.25,0.5
64,S64,1.4956477969424191,1.0749051490963524,0.25,0.5
65,S65,2.119839522941033,1.1588319149034827,0.25,0.5
66,S66,1.015107296914491,1.051340381657952,0.25,0.5
67,S67,1.7407421096174012,1.1852386593306257,0.25,0.5
68,S68,-8.630316136089586,1.6799719583582948,0.25,0.5
69,S69,1.6795789392633595,1.1388938002359361,0.25,0.5
70,S70,-5.737662825794357,1.7386487618510706,0.25,0.5
71,S71,-6.55751686892684,1.7402916535348596,0.25,0.5
72,S72,-5.4404134840681895,1.877414491549814,0.25,0.5
73,S73,-3.513930788933404,4.314247696744686,0.25,0.5
74,S74,-7.443662520212186,1.9537655716663362,0.25,0.5
75,S75,-5.018885674951695,6.13192834803387,0.25,0.5
76,S76,-6.180447275418649,5.44195940486305,0.25,0.5
77,S77,-7.899714083924152,2.010908198364142,0.25,0.5
78,S78,-3.8715948278919656,4.855392981248537,0.25,0.5
79,S79,-5.779083769247396,6.010905362366175,0.25,0.5
80,S80,-5.778980134216776,0.5437984747392455,0.25,0.5
81,S81,-2.878293362115506,0.5843952986721255,0.25,0.5
82,S82,0.2862101796285861,2.8019233234710557,0.25,0.5
83,S83,-7.091052766653336,0.6489709149405761,0.25,0.5
84,S84,-11.61433502469855,1.3392092143602323,0.25,0.5
85,S85,-9.160733430738933,2.254246664506808,0.25,0.5
86,S86,-11.100983738020782,1.1199320298292077,0.25,0.5
87,S87,-6.010666080447617,4.777275281342057,0.25,0.5
88,S88,2.2248538327287006,1.5786474248828153,0.25,0.5
89,S89,-7.7406166851559135,2.173571925255052,0.25,0.5
90,S90,-6.7971521497700715,1.9348697931694767,0.25,0.5
91,S91,-8.1488457192357,1.822047102357927,0.25,0.5
92,S92,-8.026830288355507,1.443573790965134,0.25,0.5
93,S93,-5.821387566832397,2.9991110977114523,0.25,0.5
94,S94,-3.978573114040739,1.6421897432253993,0.25,0.5
95,S95,-5.0067654146662015,1.3811628122734578,0.25,0.5
96,S96,-4.771740418831934,2.508384616681805,0.25,0.5
97,S97,-7.636613880202002,1.1215557039096968,0.25,0.5
98,S98,-8.722887191465457,1.6396445858912116,0.25,0.5
99,S99,-6.728687241215605,1.468361924898414,0.25,0.5
100,S100,-3.036415225187663,1.5305016343820506,0.25,0.5
101,S101,-5.71691338049345,1.512605238987931,0.25,0.5
102,S102,-5.978566218824033,0.7340075640843047,0.25,0.5
103,S103,-3.1614146009172925,1.4296505897562655,0.25,0.5
104,S104,1.5589866218947763,1.3197085823949262,0.25,0.5
105,S105,-2.242152143957534,0.5832055167309754,0.25,0.5
106,S106,-1.7886984794536935,1.1684608343226706,0.25,0.5
107,S107,-5.537201751698248,0.49844491037057154,0.25,0.5
108,S108,-9.739634952947766,0.6139132392240303,0.25,0.5
109,S109,-5.76793612436299,0.525727904530832,0.25,0.5
110,S110,-8.758592974561804,1.9965580339750288,0.25,0.5
111,S111,-6.570379497004031,2.0994713676916836,0.25,0.5
112,S112,-9.466126197997015,1.6445024210865324,0.25,0.5
113,S113,-5.877174709683387,8.83163476696813,0.25,0.5
114,S114,-7.428677184056287,1.8320729515729546,0.25,0.5
115,S115,-6.206167836099169,5.423736820240297,0.25,0.5
116,S116,-1.3611529272991305,6.263348241520294,0.25,0.5
117,S117,-5.758412465084299,1.6709967848045046,0.25,0.5
118,S118,-5.1182360856888485,5.807348920537502,0.25,0.5
119,S119,-3.4520793118486246,3.926121617179012,0.25,0.5
120,S120,-10.641870373234141,1.4726896656631416,0.25,0.5
121,S121,-9.236320592871213,1.4378678027044614,0.25,0.5
122,S122,-8.609675657010214,2.7015624434522945,0.25,0.5
