,Agent,Value,Consumption,i_a,m
0,S0,-4.910511406033136,3.2614409693479818,0.25,0.5
1,S1,-2.09698423711315,3.295182269480532,0.25,0.5
2,S2,-4.535455644560255,3.516270576823359,0.25,0.5
3,S3,-4.378807494954288,3.7065488778919837,0.25,0.5
4,S4,-2.849475903602432,2.2873812729163188,0.25,0.5
5,S5,-1.6250092411390669,2.747368812840656,0.25,0.5
6,S6,3.641367354525646,2.742050011237781,0.25,0.5
7,S7,3.6385432957609116,2.7265993097399748,0.25,0.5
8,S8,-1.1485966830037602,4.0538215169034375,0.25,0.5
9,S9,4.186429012587065,2.984463910154406,0.25,0.5
10,S10,-2.59246087674535,22.29993731115695,0.25,0.5
11,S11,-2.251947996556246,22.310777374028362,0.25,0.5
12,S12,-11.677525554442225,1.8932644206920817,0.25,0.5
13,S13,0.21871577221606753,33.276190525988035,0.25,0.5
14,S14,0.009235366986607652,16.72823657418961,0.25,0.5
15,S15,-9.898983235798578,1.8932635131908468,0.25,0.5
16,S16,3.1932056047440343,24.98686380077151,0.25,0.5
17,S17,-9.528331489706343,1.689331395695736,0.25,0.5
18,S18,-11.38372960860185,1.8932660913655222,0.25,0.5
19,S19,-9.49541026489777,1.8932633360397615,0.25,0.5
20,S20,3.8424090582007926,1.9833871385849509,0.25,0.5
21,S21,5.2117720446438485,1.9708758289857378,0.25,0.5
22,S22,5.350523331673698,2.312973717351696,0.25,0.5
23,S23,3.11443162407556,1.674789281027101,0.25,0.5
24,S24,-7.864284023725521,4.2423778038353905,0.25,0.5
25,S25,-8.297457362333903,3.0191547875103812,0.25,0.5
26,S26,-8.392023339212294,2.5689753612246746,0.25,0.5
27,S27,-6.58182417819496,4.266549147161566,0.25,0.5
28,S28,5.59313016433911,2.0388973096149576,0.25,0.5
29,S29,-7.818611934190561,3.054547619762247,0.25,0.5
30,S30,6.480643405146409,23.129904681022524,0.25,0.5
31,S31,6.997305416765949,23.300119204055843,0.25,0.5
32,S32,7.834704222181489,26.681171977527374,0.25,0.5
33,S33,-2.438319118494906,11.230677660756797,0.25,0.5
34,S34,9.242133434296324,24.91561912360571,0.25,0.5
35,S35,0.6704407482393895,9.005226128922406,0.25,0.5
36,S36,0.8498723634611636,8.384839619899163,0.25,0.5
37,S37,11.176548171753096,28.64457724332673,0.25,0.5
38,S38,-1.7207425876821998,12.092806493405433,0.25,0.5
39,S39,1.1901351426940545,9.010923477189142,0.25,0.5
40,S40,-7.766957939796806,1.8371477486480783,0.25,0.5
41,S41,-8.007902913546923,1.8499603358220829,0.25,0.5
42,S42,-1.5837614153047381,8.107949797361982,0.25,0.5
43,S43,-8.274520757668627,1.7932855325787578,0.25,0.5
44,S44,-9.585201243334437,2.55528634497407,0.25,0.5
45,S45,-5.86532425386378,6.10668848758156,0.25,0.5
46,S46,-10.135161400874004,1.922874850962859,0.25,0.5
47,S47,-4.313169118756345,10.485006422399746,0.25,0.5
48,S48,-3.731841381988353,5.026376356357851,0.25,0.5
49,S49,-6.050373702000847,6.097754218767046,0.25,0.5
50,S50,10.894946158726544,2.551216695126137,0.25,0.5
51,S51,10.423983924869432,2.4970002203171417,0.25,0.5
52,S52,6.418321665977798,1.3220911372768445,0.25,0.5
53,S53,17.45598572039491,3.3100109874299135,0.25,0.5
54,S54,0.29881045390012523,3.1604525861479,0.25,0.5
55,S55,-1.6292332942618155,2.701527444530653,0.25,0.5
56,S56,3.877080054393462,6.899488295981112,0.25,0.5
57,S57,-3.5715870758451205,1.6777451025642436,0.25,0.5
58,S58,7.002060394253529,1.1721282622080165,0.25,0.5
59,S59,-2.112236164036561,2.712381658570676,0.25,0.5
60,S60,-4.057660759142115,8.506153355751664,0.25,0.5
61,S61,-4.254478852511264,8.582884538369724,0.25,0.5
62,S62,-3.0542352587845216,8.891615584330411,0.25,0.5
63,S63,-5.724149124816497,5.055980702071321,0.25,0.5
64,S64,12.072790693554651,2.1986547903878573,0.25,0.5
65,S65,11.378414299740063,2.2399429147149688,0.25,0.5
66,S66,9.760205187269005,1.9611540657677187,0.25,0.5
67,S67,13.155247482201634,2.6864528316302176,0.25,0.5
68,S68,-5.347147882207782,6.689306898857762,0.25,0.5
69,S69,10.838647606121132,2.2368061511016246,0.25,0.5
70,S70,1.7401454193166743,4.547854005163891,0.25,0.5
71,S71,0.9000359194369331,4.522719995539495,0.25,0.5
72,S72,1.9525300261123832,4.786886814424885,0.25,0.5
73,S73,13.888816159821591,20.6706516155166,0.25,0.5
74,S74,-3.2073811315436878,6.837401629490425,0.25,0.5
75,S75,10.779790351281758,33.55408382649476,0.25,0.5
76,S76,8.806425291372742,29.78764535702783,0.25,0.5
77,S77,-3.617115431045989,7.170621952634081,0.25,0.5
78,S78,14.217402000099646,22.866639844504185,0.25,0.5
79,S79,10.05537984201547,33.3044045065713,0.25,0.5
80,S80,-0.4942616847568819,2.2595796069739102,0.25,0.5
81,S81,2.5314004888581545,2.2237665363142067,0.25,0.5
82,S82,13.01556115008204,8.996420372650011,0.25,0.5
83,S83,-1.4010137575129487,1.5716351795246302,0.25,0.5
84,S84,-9.152850290273143,5.630767708881909,0.25,0.5
85,S85,-6.713540560656234,8.528362030364146,0.25,0.5
86,S86,-8.998214087928746,2.557542159793898,0.25,0.5
87,S87,1.9061541253601444,27.875280100504742,0.25,0.5
88,S88,9.007282721215526,4.156232317452162,0.25,0.5
89,S89,-5.696485625831912,8.601504293379373,0.25,0.5
90,S90,-1.7332040427771547,6.485721238798909,0.25,0.5
91,S91,-2.9476836185123316,6.441549067382259,0.25,0.5
92,S92,-3.290765974251598,4.379644013845683,0.25,0.5
93,S93,1.3258225185822892,12.354702405011011,0.25,0.5
94,S94,1.6284961942210456,4.984215900935818,0.25,0.5
95,S95,1.4567224799063934,5.2237384788274035,0.25,0.5
96,S96,3.0736055293963704,8.61888268337224,0.25,0.5
97,S97,-1.9035125555019128,3.371259928711783,0.25,0.5
98,S98,-2.904702519174582,5.853542458550814,0.25,0.5
99,S99,-0.2120099763576908,5.297665454299404,0.25,0.5
100,S100,2.72031807948188,4.672957816177766,0.25,0.5
101,S101,0.48709780062178765,4.681300484966781,0.25,0.5
102,S102,-2.9234811688965494,1.8763034997049441,0.25,0.5
103,S103,2.3314023151467578,4.288857874216661,0.25,0.5
104,S104,9.665454343644614,3.276535701139463,0.25,0.5
105,S105,2.2103521115571803,1.4857551216214233,0.25,0.5
106,S106,5.803800849165799,2.967598951557619,0.25,0.5
107,S107,-0.9649145075966574,1.440827121492869,0.25,0.5
108,S108,-5.215380528569508,1.6653330893290992,0.25,0.5
109,S109,-1.005778796247702,1.4031308526992279,0.25,0.5
110,S110,-5.627548109430509,6.6774361682073256,0.25,0.5
111,S111,-3.9839988501490677,6.800606607900208,0.25,0.5
112,S112,-6.123948644169711,5.336782058182915,0.25,0.5
113,S113,32.48492005224829,45.153685344751686,0.25,0.5
114,S114,-3.194080407884627,5.555152068417155,0.25,0.5
115,S115,19.598716357455487,30.01741979773827,0.25,0.5
116,S116,37.67373524189884,45.153685344751686,0.25,0.5
117,S117,-1.6430299961373651,4.547921520405058,0.25,0.5
118,S118,19.981711128532453,30.01741979773827,0.25,0.5
119,S119,22.5959864641487,30.01741979773827,0.25,0.5
120,S120,-7.912820981876839,5.163405650166296,0.25,0.5
121,S121,-6.75566731356826,5.004816491194365,0.25,0.5
122,S122,-4.529101476968507,15.782553652275373,0.25,0.5
123,S123,-8.23539168221388,4.07707292770527,0.25,0.5
124,S124,-0.3282710876118635,2.8092666458823694,0.25,0.5
125,S125,3.595915331264849,5.451754471830073,0.25,0.5
126,S126,2.238294261058578,2.579147936114777,0.25,0.5
127,S127,7.700826451527641,6.745783067350283,0.25,0.5
128,S128,-4.463764820577321,11.912167123719483,0.25,0.5
129,S129,6.37432035823609,5.664615070960861,0.25,0.5
130,S130,31.07210812695604,38.9038740339079,0.25,0.5
131,S131,29.14882609834281,38.9038740339079,0.25,0.5
132,S132,15.964747024309522,23.767609249721176,0.25,0.5
133,S133,7.213724293774344,17.76195190799628,0.25,0.5
134,S134,27.527006869688606,38.9038740339079,0.25,0.5
135,S135,-0.8200520486438041,12.139968722260846,0.25,0.5
136,S136,1.5580150851394512,25.216582384460164,0.25,0.5
137,S137,11.005949463330953,23.767609249721176,0.25,0.5
138,S138,1.989843274276402,11.52244736000294,0.25,0.5
139,S139,-2.042495806891389,11.849475585178748,0.25,0.5
140,S140,-11.325098191668054,1.2446681447084615,0.25,0.5
141,S141,-12.712998677063723,1.2661679056490625,0.25,0.5
142,S142,-6.476044275586953,2.957921493997198,0.25,0.5
143,S143,-11.561183110110123,1.203064142110033,0.25,0.5
144,S144,-14.12810019769165,1.4049973657956174,0.25,0.5
145,S145,-9.714083512356522,3.3888273753138347,0.25,0.5
146,S146,-15.312123913893535,1.4049966381639234,0.25,0.5
147,S147,-10.37125843221294,3.5675637999212007,0.25,0.5
148,S148,-8.009596607875546,2.6584707388575946,0.25,0.5
149,S149,-10.568521646939315,3.5074707436873562,0.25,0.5
150,S150,2.6255497154880514,5.857724569791511,0.25,0.5
151,S151,5.487957423689828,5.755058923179304,0.25,0.5
152,S152,4.511288627125554,7.544991558279276,0.25,0.5
153,S153,1.4332551204348523,4.6768390811492555,0.25,0.5
154,S154,-0.520885197954911,8.837008584516996,0.25,0.5
155,S155,-0.5713997886420348,8.462896256398931,0.25,0.5
156,S156,0.29919819452421503,6.704602167296249,0.25,0.5
157,S157,3.1594483308498686,11.338740323732859,0.25,0.5
158,S158,5.678279490888443,5.893031473221854,0.25,0.5
159,S159,1.4432933004557529,8.475610055741601,0.25,0.5
160,S160,-3.982709731550681,17.18891039547505,0.25,0.5
161,S161,-3.217763330834415,17.30248793403044,0.25,0.5
162,S162,-6.573665999116674,6.302252268126952,0.25,0.5
163,S163,4.9152400535433545,57.38094588120318,0.25,0.5
164,S164,-6.277421958534648,21.602567203660147,0.25,0.5
165,S165,-6.317863452384189,11.016967438253447,0.25,0.5
166,S166,3.432788080202318,79.43094909096257,0.25,0.5
167,S167,-7.926823458136,5.868553709809218,0.25,0.5
168,S168,-3.2230385701233364,9.581728889995688,0.25,0.5
169,S169,-5.571558343277363,11.323099242388757,0.25,0.5
170,S170,4.684935682548063,9.520611971107549,0.25,0.5
171,S171,6.063563918581977,9.379383063297752,0.25,0.5
172,S172,9.842722811450026,17.105256855794806,0.25,0.5
173,S173,0.18837291573356196,3.9001303348249485,0.25,0.5
174,S174,3.0602989077747966,11.89339846891741,0.25,0.5
175,S175,-0.1323595798312014,6.597639137186938,0.25,0.5
176,S176,-0.4061885472504685,4.474417598585571,0.25,0.5
177,S177,9.187967559287767,21.20892141814627,0.25,0.5
178,S178,3.0049298063983674,5.8712746448597946,0.25,0.5
179,S179,0.9470066354758999,6.666378355755103,0.25,0.5
180,S180,-4.707098621638977,2.4135969037826666,0.25,0.5
181,S181,-5.397082012416955,2.393866552923516,0.25,0.5
182,S182,-2.6899128748478773,4.553330445499656,0.25,0.5
183,S183,-3.4251214353011563,3.6286692324808523,0.25,0.5
184,S184,1.0274585365868594,2.03393239625002,0.25,0.5
185,S185,6.386324232657197,5.27767053817149,0.25,0.5
186,S186,0.5696295582888953,2.618178795707109,0.25,0.5
187,S187,2.3414701382506466,3.325374205978674,0.25,0.5
188,S188,-0.788480807174905,8.395534972603581,0.25,0.5
189,S189,5.027322824067637,5.197401337170904,0.25,0.5
190,S190,14.278460943716917,3.783207981806348,0.25,0.5
191,S191,13.225437395607075,3.9076902719609397,0.25,0.5
192,S192,5.130421661208904,1.5138693050416325,0.25,0.5
193,S193,8.139216108581,2.4859010786472955,0.25,0.5
194,S194,-2.061882478473945,11.605885662716581,0.25,0.5
195,S195,-8.479136740269128,2.0154625902192325,0.25,0.5
196,S196,-6.827121213736483,3.7595425773805964,0.25,0.5
197,S197,-7.292845740590265,3.7374197866476666,0.25,0.5
198,S198,2.8137843991755407,1.365688890277686,0.25,0.5
199,S199,-9.089635888088429,2.005880945323945,0.25,0.5
200,S200,9.876089100726869,8.008454404640066,0.25,0.5
201,S201,4.976257166978163,9.296234682657264,0.25,0.5
202,S202,8.098734080157918,6.808193636960537,0.25,0.5
203,S203,5.99357389906051,3.1817403798839927,0.25,0.5
204,S204,9.876089100726869,8.008454404640066,0.25,0.5
205,S205,5.074428957949873,2.8651635835344074,0.25,0.5
206,S206,0.8277833401482311,3.1648330591861584,0.25,0.5
207,S207,3.2261277304711324,6.648330562048781,0.25,0.5
208,S208,-0.10318674408989881,2.85942503468154,0.25,0.5
209,S209,-0.10318674408989881,2.85942503468154,0.25,0.5
210,S210,-0.7826085530783033,10.005623298824966,0.25,0.5
211,S211,-2.46177975644405,9.903434925146188,0.25,0.5
212,S212,-0.9137402537841783,9.577394638198836,0.25,0.5
213,S213,-2.7738643132011225,6.104571003565269,0.25,0.5
214,S214,0.7985034931235926,8.838026417622897,0.25,0.5
215,S215,-1.3476944165586877,5.388187048384579,0.25,0.5
216,S216,-3.0740816767266486,5.458523905059748,0.25,0.5
217,S217,-1.229281294214767,8.366556813733071,0.25,0.5
218,S218,-4.439816103281083,5.791972102960476,0.25,0.5
219,S219,-3.1555949290983936,5.274611498678985,0.25,0.5
220,S220,-4.597240137204058,2.5785690420095033,0.25,0.5
221,S221,-4.456335645618355,2.5957744883354477,0.25,0.5
222,S222,2.3441926478033763,9.27983235450849,0.25,0.5
223,S223,-4.111651451725873,3.5530487778788866,0.25,0.5
224,S224,-7.9511961397482676,3.433816646944122,0.25,0.5
225,S225,1.6294487658497072,16.74911928639594,0.25,0.5
226,S226,-7.364556949291498,4.518851265665477,0.25,0.5
227,S227,-1.8031391402714254,15.04063531664233,0.25,0.5
228,S228,6.145576054256868,17.027000558174624,0.25,0.5
229,S229,1.751159197125581,16.789950699113298,0.25,0.5
230,S230,-7.073254669062329,7.064499599451396,0.25,0.5
231,S231,-6.987827591322498,7.068748948890716,0.25,0.5
232,S232,-11.437313143527625,1.6254688158192934,0.25,0.5
233,S233,-6.177781704956267,9.873978706256642,0.25,0.5
234,S234,-0.8571072637074075,4.12492831348224,0.25,0.5
235,S235,-7.273058157172918,1.3235486287993619,0.25,0.5
236,S236,0.4409626414402039,5.216836418762064,0.25,0.5
237,S237,-7.455835181336262,1.231604531528349,0.25,0.5
238,S238,-11.267201545739768,1.799707727302179,0.25,0.5
239,S239,-7.116711644698581,1.3202965136233265,0.25,0.5
240,S240,-6.446994457953366,5.935807514628524,0.25,0.5
241,S241,-4.098320646344014,5.393967695985285,0.25,0.5
242,S242,-9.19755964480513,3.238443865066795,0.25,0.5
243,S243,-6.124280631952978,6.901586916187017,0.25,0.5
244,S244,7.289976601609161,2.0304125514724802,0.25,0.5
245,S245,1.6807375351900293,1.5144201383693645,0.25,0.5
246,S246,15.035584041957993,1.9845758119855077,0.25,0.5
247,S247,7.804194002571248,1.0311196151325532,0.25,0.5
248,S248,-6.818701613045713,3.591512665975922,0.25,0.5
249,S249,8.00197755274422,0.9990005200706379,0.25,0.5
250,S250,3.032557757565801,3.8102191741009523,0.25,0.5
251,S251,2.0481650723789064,3.7382703506423365,0.25,0.5
252,S252,2.544578326750382,3.3232253381596584,0.25,0.5
253,S253,3.7244308231670016,4.27679898215357,0.25,0.5
