,Agent,Value,Consumption,i_a,m
0,S0,-19.36891868310041,3.5449251449936017,0.0,0.0
1,S1,-8.586313748643372,4.229266276320482,0.0,0.0
2,S2,-19.015459196319117,3.8581081770952634,0.0,0.0
3,S3,-16.65200211700607,4.314978178421862,0.0,0.0
4,S4,-0.6375586098745969,3.065149946133483,0.0,0.0
5,S5,0.3968441937101388,3.7242806715569143,0.0,0.0
6,S6,4.3714177214910155,3.6639622142409904,0.0,0.0
7,S7,4.197961815293824,3.5798060497544264,0.0,0.0
8,S8,-7.116592442754028,5.498563143581236,0.0,0.0
9,S9,4.779397922436461,3.975666730158227,0.0,0.0
10,S10,-76.51131245251862,20.19285647056927,0.0,0.0
11,S11,-76.4199191889331,20.373291057231555,0.0,0.0
12,S12,-88.8574100939176,0.8541008958325627,0.0,0.0
13,S13,-34.882031589183654,35.19285825633821,0.0,0.0
14,S14,-65.29190303436494,23.10284965814471,0.0,0.0
15,S15,-43.011550626361384,0.8294148451831892,0.0,0.0
16,S16,-29.43710565960654,25.37329916753122,0.0,0.0
17,S17,-80.3274820042712,0.6099086178479654,0.0,0.0
18,S18,-45.55086120666136,2.1432651918673,0.0,0.0
19,S19,-42.825114043685076,0.8689481060003095,0.0,0.0
20,S20,4.892556229589578,2.6742908092352904,0.0,0.0
21,S21,6.000649115526962,2.6867137349601187,0.0,0.0
22,S22,6.016228049548637,3.2008997694886725,0.0,0.0
23,S23,3.8775067737214215,2.1191929065600474,0.0,0.0
24,S24,-772.0567420992161,0.4081945252258296,0.0,0.0
25,S25,-87780594.34948647,0.00148810678003758,0.0,0.0
26,S26,-88627655.5596845,0.00120743971463307,0.0,0.0
27,S27,-760.4514264939455,0.5150362953724782,0.0,0.0
28,S28,5.529861636475432,2.5087270156247685,0.0,0.0
29,S29,-87524998.61613396,0.0015346327555294328,0.0,0.0
30,S30,-8.763919612445486,32.66561507572532,0.0,0.0
31,S31,-8.634640974733696,31.029695180154746,0.0,0.0
32,S32,-7.525543783986089,33.716891343625505,0.0,0.0
33,S33,-113.64405179309186,9.429918254435574,0.0,0.0
34,S34,1.5763353351723275,26.62078154983755,0.0,0.0
35,S35,-12.480224888606898,13.83047037787479,0.0,0.0
36,S36,-11.066492775381045,13.058797820003694,0.0,0.0
37,S37,3.8558384182727625,29.727909865956754,0.0,0.0
38,S38,-112.12179273853401,10.432366141952699,0.0,0.0
39,S39,-10.78926597872395,14.122530224586153,0.0,0.0
40,S40,-127.64682743352182,0.38736708324151664,0.0,0.0
41,S41,-144.74023640342392,0.3366827781608543,0.0,0.0
42,S42,-110.63588777284447,5.116993621923298,0.0,0.0
43,S43,-29734.061308172455,0.017432923204847725,0.0,0.0
44,S44,-286.74037264234755,0.33448763559307676,0.0,0.0
45,S45,-151775.64866752413,0.04655761034670502,0.0,0.0
46,S46,-165745.42381932258,0.0059851937228143585,0.0,0.0
47,S47,-263.09794676074904,2.8724349312158823,0.0,0.0
48,S48,-39127.323456427854,0.06421638158154651,0.0,0.0
49,S49,-152149.24093786645,0.04651570340840823,0.0,0.0
50,S50,12.167285148953885,2.8647006357108484,0.0,0.0
51,S51,11.790250732800109,2.814386139265527,0.0,0.0
52,S52,8.661186151499278,1.5535230243515528,0.0,0.0
53,S53,20.068889496371938,3.6704503363317498,0.0,0.0
54,S54,-3.6579781151044544,4.129112664450492,0.0,0.0
55,S55,-3.375142494844053,3.50833331682227,0.0,0.0
56,S56,0.7559314917581674,11.517478372093322,0.0,0.0
57,S57,-7.050786238800924,1.9734993477589555,0.0,0.0
58,S58,10.560646451954051,1.3952663752037757,0.0,0.0
59,S59,-4.049971621614512,3.479605640632738,0.0,0.0
60,S60,-38.017642426328045,9.225687792942947,0.0,0.0
61,S61,-38.07784525482889,9.167163850265784,0.0,0.0
62,S62,-37.11172245856602,10.612708397144416,0.0,0.0
63,S63,-699.4759500381894,0.5700311899849507,0.0,0.0
64,S64,15.515788302914986,2.470977832288973,0.0,0.0
65,S65,13.980535831910775,2.536782496369813,0.0,0.0
66,S66,12.533338002733128,2.21288771307412,0.0,0.0
67,S67,16.386475448396673,2.9361404621152674,0.0,0.0
68,S68,-695.7089304688818,0.8689311486186088,0.0,0.0
69,S69,13.490012928863228,2.516303562031377,0.0,0.0
70,S70,0.3337432024890823,6.37574682105824,0.0,0.0
71,S71,-0.9149484238281143,6.238304364009544,0.0,0.0
72,S72,0.4886235600060519,6.709716067873055,0.0,0.0
73,S73,14.339281039364046,31.111613158567334,0.0,0.0
74,S74,-3575.4342917741274,0.3256519056650236,0.0,0.0
75,S75,-4.146435194852792,39.137414948922235,0.0,0.0
76,S76,-5.622992676982351,35.37098036837365,0.0,0.0
77,S77,-4395.674576099488,0.2977265003202296,0.0,0.0
78,S78,14.502041745339563,34.387735303115484,0.0,0.0
79,S79,-4.433695618333971,38.88773548414511,0.0,0.0
80,S80,1.961041146093057,2.9767380291435446,0.0,0.0
81,S81,4.457799036057604,2.98349957352409,0.0,0.0
82,S82,13.809346071825557,12.986397796988637,0.0,0.0
83,S83,0.7089141850182292,1.9670804414612788,0.0,0.0
84,S84,-33.32186286802697,4.703733523606087,0.0,0.0
85,S85,-37705.2750543528,0.08936303459300164,0.0,0.0
86,S86,-39618.09487636011,0.026710351302372978,0.0,0.0
87,S87,-24.699554975334934,34.791948005777684,0.0,0.0
88,S88,7.917652057432165,5.0936636225350105,0.0,0.0
89,S89,-37478.45928893101,0.0854588138947662,0.0,0.0
90,S90,-70.24280937465439,5.250865732780795,0.0,0.0
91,S91,-823.7763644002542,0.8149651390419308,0.0,0.0
92,S92,-73.1242308951697,2.2555189673362266,0.0,0.0
93,S93,-27.828847370005587,14.998521764907494,0.0,0.0
94,S94,-2.432451799305433,7.35017969372829,0.0,0.0
95,S95,-1.2640885292623545,6.887559106098303,0.0,0.0
96,S96,-0.9598889628568505,14.431499288722309,0.0,0.0
97,S97,-6.930369497503374,4.66176402345551,0.0,0.0
98,S98,-39.96256257175468,5.436875201305555,0.0,0.0
99,S99,-3.7984576962676675,6.579730711722159,0.0,0.0
100,S100,0.1286794093711201,7.620428646261774,0.0,0.0
101,S101,-3.028841599945406,7.31544490213684,0.0,0.0
102,S102,-4.191853774339169,2.54647493103565,0.0,0.0
103,S103,-0.42307224651405817,6.79239224251642,0.0,0.0
104,S104,9.41504877901159,4.448295473164034,0.0,0.0
105,S105,3.8627604006861747,1.9909457532434438,0.0,0.0
106,S106,6.393855552420631,4.091465312131641,0.0,0.0
107,S107,1.2677039018355605,1.95028021399149,0.0,0.0
108,S108,-7.906448221958667,2.335496967736145,0.0,0.0
109,S109,1.1881682604173445,1.8812024689950884,0.0,0.0
110,S110,-692714.3879930279,0.02656644259243185,0.0,0.0
111,S111,-674803.3408955111,0.02686107717786919,0.0,0.0
112,S112,-698378.5348529042,0.013994058723614046,0.0,0.0
113,S113,26.313688253115576,45.403685297134004,0.0,0.0
114,S114,-63877.73785316311,0.06860034996207583,0.0,0.0
115,S115,12.272291742128026,30.26742069242628,0.0,0.0
116,S116,28.725133262446214,45.403685297134004,0.0,0.0
117,S117,-53.07759555414619,3.8932783068949783,0.0,0.0
118,S118,11.640776493455686,30.267419746412493,0.0,0.0
119,S119,13.629010210919521,30.267419746412493,0.0,0.0
120,S120,-292.3324589040909,1.0979794818508541,0.0,0.0
121,S121,-290.6635163493762,1.154707415125204,0.0,0.0
122,S122,-280.69749124993643,5.255979208095946,0.0,0.0
123,S123,-2484.047492108161,0.19009819824932805,0.0,0.0
124,S124,-0.20758429805598455,3.807299311740498,0.0,0.0
125,S125,2.3820159878953473,7.866850085239342,0.0,0.0
126,S126,1.9163542126216178,3.6865417295414646,0.0,0.0
127,S127,6.243678289097431,10.11521023374395,0.0,0.0
128,S128,-2380.97654848001,1.1161019912557901,0.0,0.0
129,S129,4.924066676182823,8.190388508401496,0.0,0.0
130,S130,27.271112163560595,39.153873986290215,0.0,0.0
131,S131,25.157651606563483,39.153873986290215,0.0,0.0
