,Agent,Value,Consumption,i_a,m
0,S0,-5.645760220548308,6.090340869336009,0.25,0.5
1,S1,-2.5259939611517135,6.044921032484162,0.25,0.5
2,S2,-2.847254504291754,10.974540328327942,0.25,0.5
3,S3,-4.450626379543344,7.639140589361497,0.25,0.5
4,S4,-4.617255444659506,5.28152153407286,0.25,0.5
5,S5,1.4424789125444955,15.72046163325222,0.25,0.5
6,S6,0.3107902273629626,7.705662817527042,0.25,0.5
7,S7,1.8241730892747734,9.45694853620614,0.25,0.5
8,S8,3.498878198272357,18.570374312236876,0.25,0.5
9,S9,5.11100812997046,15.419753407051461,0.25,0.5
10,S10,10.248394201434248,2.971365600961483,0.25,0.5
11,S11,8.280173445518864,2.8917931954998033,0.25,0.5
12,S12,7.874378838972936,1.7963723134986391,0.25,0.5
13,S13,12.786702489735083,3.4558083133847872,0.25,0.5
14,S14,-7.098859932643002,6.058824978505552,0.25,0.5
15,S15,-7.495845504902537,4.38063551844293,0.25,0.5
16,S16,-6.8321307318968305,9.644826709327551,0.25,0.5
17,S17,-9.353746491145454,3.3681719715022833,0.25,0.5
18,S18,5.573707357079154,1.873780080542315,0.25,0.5
19,S19,-8.629348800288252,4.230751310619188,0.25,0.5
20,S20,-7.748105656115424,3.9890986736830527,0.25,0.5
21,S21,-8.77568245644113,4.125583525483142,0.25,0.5
22,S22,-8.538855854041703,2.808357378490137,0.25,0.5
23,S23,-8.139365196368892,2.67658036882723,0.25,0.5
24,S24,-6.655818152149193,3.2877963068428877,0.25,0.5
25,S25,-7.823062561086401,2.1138684107203827,0.25,0.5
26,S26,-8.172490889805053,2.4536027084888317,0.25,0.5
27,S27,-8.627002297672892,2.8887434343248755,0.25,0.5
28,S28,-9.759099355781387,2.566180712183398,0.25,0.5
29,S29,-8.892972585522264,2.1792616034138748,0.25,0.5
30,S30,1.6035261463508697,3.7971973161309642,0.25,0.5
31,S31,4.378520262555808,3.940148006311879,0.25,0.5
32,S32,1.4452381780534755,3.676632349080445,0.25,0.5
33,S33,-0.650176541858394,2.5117905408284673,0.25,0.5
34,S34,5.337289302573997,3.28409079830316,0.25,0.5
35,S35,3.101967628744903,2.309443815010999,0.25,0.5
36,S36,6.1574545529206315,2.699703508280962,0.25,0.5
37,S37,8.729887393536425,3.5193290624907823,0.25,0.5
38,S38,2.171337823073381,2.62257124600055,0.25,0.5
39,S39,6.091945116993639,2.6342581380531147,0.25,0.5
40,S40,1.2520683345817964,7.635633002264885,0.25,0.5
41,S41,3.5324723606119806,7.924685568963149,0.25,0.5
42,S42,0.2457826964351687,4.984177044677587,0.25,0.5
43,S43,8.004754436687604,18.38102015308366,0.25,0.5
44,S44,-2.127911824371207,9.561046572918366,0.25,0.5
45,S45,1.1435990900463038,14.344757483633574,0.25,0.5
46,S46,5.9162477678864,26.2488934381731,0.25,0.5
47,S47,-1.2017541817181128,6.3589329554055825,0.25,0.5
48,S48,7.078098013892175,10.17395324935882,0.25,0.5
49,S49,3.058921035550632,14.371477067164617,0.25,0.5
50,S50,-3.9378743470191555,10.469341945900865,0.25,0.5
51,S51,-5.006250542968921,10.050335696053107,0.25,0.5
52,S52,-4.203810668795876,8.840665988259163,0.25,0.5
53,S53,-6.5317637799349315,5.286587625427586,0.25,0.5
54,S54,16.32421922131674,2.860294279138509,0.25,0.5
55,S55,11.595959510248825,2.315878211016006,0.25,0.5
56,S56,9.374840709525232,2.2575201035829418,0.25,0.5
57,S57,12.34482247939564,2.7508407097306216,0.25,0.5
58,S58,-7.5371528353902,5.062742620294926,0.25,0.5
59,S59,9.147439581623283,2.177348167921472,0.25,0.5
60,S60,3.83364960299341,2.122862853052942,0.25,0.5
61,S61,1.2301501700068793,2.104597871786285,0.25,0.5
62,S62,3.089844746082359,1.9017413706369592,0.25,0.5
63,S63,5.37686627237218,3.38261386645861,0.25,0.5
64,S64,-1.6010786147593723,2.6836386960027685,0.25,0.5
65,S65,-0.3738963694395263,4.703660300701115,0.25,0.5
66,S66,-1.1603289250698468,5.525895652854071,0.25,0.5
67,S67,-3.805464989606392,2.566433137412847,0.25,0.5
68,S68,1.7464650924919338,2.969814173981988,0.25,0.5
69,S69,-2.0399334977811545,4.799651286377801,0.25,0.5
70,S70,6.532198637888883,24.471249418118777,0.25,0.5
71,S71,8.38636448479846,25.08305796087948,0.25,0.5
72,S72,5.920049607081097,22.93866469795983,0.25,0.5
73,S73,-3.8299278766248923,8.849256420516491,0.25,0.5
74,S74,5.272752542748077,26.44927167796271,0.25,0.5
75,S75,-5.067759629742886,9.671253419668432,0.25,0.5
76,S76,-3.691279702653914,10.033173450442707,0.25,0.5
77,S77,6.352455757145161,25.46734427150936,0.25,0.5
78,S78,-2.4986832406547563,8.643516385739455,0.25,0.5
79,S79,-3.7833626606809303,9.729464910121377,0.25,0.5
80,S80,-10.297868799165197,3.794909541495078,0.25,0.5
81,S81,-10.494330097624585,3.8157718740045343,0.25,0.5
82,S82,-7.344787531393773,9.819140839759541,0.25,0.5
83,S83,-9.887174688039881,5.126440351228983,0.25,0.5
84,S84,-6.389340411448686,3.042446486578564,0.25,0.5
