,Agent,Value,Consumption,i_a,m
0,S0,-24.14292163390061,0.6380746145647156,0.45,0.9
1,S1,-9.60867450453181,0.8724361003486338,0.45,0.9
2,S2,-22.80729336341627,0.7039683877415686,0.45,0.9
3,S3,-20.691097249215737,0.6777441908740611,0.45,0.9
4,S4,-20.096078931696475,0.6504211521697312,0.45,0.9
5,S5,-16.52220828251918,0.7595725320697077,0.45,0.9
6,S6,-6.897728389024085,0.910674048089386,0.45,0.9
7,S7,-6.525205054383968,0.9669486827891963,0.45,0.9
8,S8,-8.17854175489936,1.0000916319737956,0.45,0.9
9,S9,-6.158062288581902,1.0026073845639116,0.45,0.9
10,S10,-4.559302575231755,2.029310057874949,0.45,0.9
11,S11,-3.49244706109237,2.047225141954999,0.45,0.9
12,S12,10.249251036451362,14.514099377615462,0.45,0.9
13,S13,-3.7090741716569706,2.7580539769869907,0.45,0.9
14,S14,-3.246894598890173,1.9116956850282891,0.45,0.9
15,S15,23.41151646736586,26.2267028450074,0.45,0.9
16,S16,-1.6072082704167672,2.4088945942357993,0.45,0.9
17,S17,13.375487240485475,13.49809834888852,0.45,0.9
18,S18,22.23378910274443,28.908126430291766,0.45,0.9
19,S19,24.4186280966979,26.099074058932757,0.45,0.9
20,S20,-4.539816626222019,0.6692248024542429,0.45,0.9
21,S21,-2.7755209256147086,0.7087833536453502,0.45,0.9
22,S22,-3.286328134097294,0.8149011071928461,0.45,0.9
23,S23,-5.003430085403161,0.7029133398059324,0.45,0.9
24,S24,-9.808757448959412,0.6718631549290301,0.45,0.9
25,S25,-10.488845885449365,0.7596701068062544,0.45,0.9
26,S26,-8.808837673226707,0.7064687040104177,0.45,0.9
27,S27,-6.833828633604956,0.8492309983352078,0.45,0.9
28,S28,-1.6682300781167925,0.8815439831488676,0.45,0.9
29,S29,-7.776220139113454,0.8105546657989315,0.45,0.9
30,S30,-4.771642658047764,2.690570531910608,0.45,0.9
31,S31,-3.8225428658303633,2.7582936844922266,0.45,0.9
32,S32,-4.2097064093282395,2.913782763839711,0.45,0.9
33,S33,-6.3994221718177915,1.4053863290609354,0.45,0.9
34,S34,-3.76017193513616,2.4201006806920753,0.45,0.9
35,S35,-4.39127912377099,1.474450601108721,0.45,0.9
36,S36,-3.686537989096168,1.379441392389353,0.45,0.9
37,S37,-2.180068331206792,2.606054282404258,0.45,0.9
38,S38,-4.645216664679167,1.4601362243107405,0.45,0.9
39,S39,-3.160258725369302,1.4989162177021562,0.45,0.9
40,S40,-12.943477982077976,0.3310604632041751,0.45,0.9
41,S41,-13.708862573213782,0.3222594928391674,0.45,0.9
42,S42,-5.101833754374493,1.2937154042166703,0.45,0.9
43,S43,-17.80000437590074,0.38796606604248024,0.45,0.9
44,S44,-14.659926094609057,0.3452690455590222,0.45,0.9
45,S45,-9.18738819545781,1.1092970028511777,0.45,0.9
46,S46,-22.11782163694791,0.37975716698818945,0.45,0.9
47,S47,-7.863897990083412,1.3136938525602855,0.45,0.9
48,S48,-7.072344610997775,1.0958483782413433,0.45,0.9
49,S49,-10.179768605014853,1.075354459717745,0.45,0.9
50,S50,1.8729961906972727,1.0477045448695717,0.45,0.9
51,S51,1.007211355763757,1.0544413343405898,0.45,0.9
52,S52,-4.278074233018804,0.6285421909243377,0.45,0.9
53,S53,2.3306858879611956,0.8658341615634312,0.45,0.9
54,S54,-0.705754426013318,1.1394434699255018,0.45,0.9
55,S55,-5.209565222373637,0.5247689084302071,0.45,0.9
56,S56,-1.2503098488863442,1.3371798671164696,0.45,0.9
57,S57,-7.637818695993852,0.603224157515578,0.45,0.9
58,S58,-4.204600666614741,0.48120854189412554,0.45,0.9
59,S59,-6.051407182224077,0.512159922877022,0.45,0.9
60,S60,-6.725730489013692,1.0738820508113291,0.45,0.9
61,S61,-7.20867779325857,1.0661214423091585,0.45,0.9
62,S62,-6.073990652022768,1.2584217537860873,0.45,0.9
63,S63,-8.00187854989591,0.8640440448179001,0.45,0.9
64,S64,-2.549398289569402,0.8749055873973468,0.45,0.9
65,S65,-1.8419363143452232,0.9535345157727452,0.45,0.9
66,S66,-3.251891979245547,0.8513433569517836,0.45,0.9
67,S67,-2.284540223247061,0.9750653840880741,0.45,0.9
68,S68,-7.941472644775499,0.9365995877506297,0.45,0.9
69,S69,-2.4015803940282647,0.9330210112705285,0.45,0.9
70,S70,-5.222681227616684,1.219231777304262,0.45,0.9
71,S71,-7.3396622432107295,1.1605549633588177,0.45,0.9
72,S72,-4.687656990474062,1.2802412014182294,0.45,0.9
73,S73,-3.1951596418959527,2.6900747457591194,0.45,0.9
74,S74,-7.260309792488744,1.2347258587096095,0.45,0.9
75,S75,-3.703431241852556,3.1038857418713985,0.45,0.9
76,S76,-5.57256817372591,2.915414512954624,0.45,0.9
77,S77,-9.004051018801919,1.2619124903201533,0.45,0.9
78,S78,-3.912034655987525,2.7240265432723527,0.45,0.9
79,S79,-5.012146514495087,3.170114875028459,0.45,0.9
80,S80,-8.428752134746961,0.3049446662954453,0.45,0.9
81,S81,-5.067185670628498,0.330267157703713,0.45,0.9
82,S82,-1.3018166618539126,2.0581873253200595,0.45,0.9
83,S83,-11.886271833643757,0.4704950120960695,0.45,0.9
84,S84,-11.67078825954741,0.47157752032638367,0.45,0.9
85,S85,-9.514379169861346,1.2416171470328696,0.45,0.9
86,S86,-11.538105187981769,0.5488165610121072,0.45,0.9
87,S87,-2.3381999241522,2.8474487671384856,0.45,0.9
88,S88,1.8061146669188854,1.012785360265859,0.45,0.9
89,S89,-4.3112877217912455,1.358136237440258,0.45,0.9
90,S90,-4.182326683104677,1.2528978026554298,0.45,0.9
91,S91,-7.969936754498742,1.108829992523098,0.45,0.9
92,S92,-6.826772847811316,0.8724016288296966,0.45,0.9
93,S93,-3.340967677856959,1.635745264714821,0.45,0.9
94,S94,-1.7500958744917618,1.232736575442411,0.45,0.9
95,S95,-4.06607248258258,0.9446670803350344,0.45,0.9
96,S96,-4.3016760282581386,1.4351007584502262,0.45,0.9
97,S97,-8.291768892170959,0.7757632358033972,0.45,0.9
98,S98,-8.77631238950041,0.9613211698408809,0.45,0.9
99,S99,-7.050524158168742,0.8621305423354406,0.45,0.9
100,S100,-1.2497872618624266,1.0457115476185297,0.45,0.9
101,S101,-5.073980667842098,0.9497989613844202,0.45,0.9
102,S102,-5.960094258049779,0.3862502109100121,0.45,0.9
103,S103,-1.2691361551211977,1.0277384974377985,0.45,0.9
104,S104,0.15789536548754535,1.0422863698435463,0.45,0.9
105,S105,-5.136201781410685,0.41153991764963477,0.45,0.9
106,S106,-3.706449313707923,0.9067216306693462,0.45,0.9
107,S107,-8.992924299365727,0.32414018128777644,0.45,0.9
108,S108,-10.95050930554865,0.361817802347455,0.45,0.9
109,S109,-9.622329549109354,0.3536054012245028,0.45,0.9
110,S110,-7.078610916370656,1.2671203421032753,0.45,0.9
111,S111,-0.43391940130273693,1.3931555292322964,0.45,0.9
112,S112,-9.329868843006434,1.0561324103054928,0.45,0.9
113,S113,-2.7210929850799306,5.13645018591833,0.45,0.9
114,S114,-5.058288520759099,1.2562549360040531,0.45,0.9
115,S115,-4.395381162817138,2.6453857777483907,0.45,0.9
116,S116,2.726714696541797,4.049754060131057,0.45,0.9
117,S117,-0.8115280725284327,1.2333852465664772,0.45,0.9
118,S118,-1.0743838710051856,2.8341075989633273,0.45,0.9
119,S119,-0.044982809040756466,2.767119844784967,0.45,0.9
120,S120,-12.639436742477596,0.7079744250659609,0.45,0.9
121,S121,-7.706879993188232,0.8195107461227901,0.45,0.9
122,S122,-6.956736941252981,1.577884670086856,0.45,0.9
123,S123,-13.493297818361286,0.6893856217544884,0.45,0.9
124,S124,-7.29669850357913,0.6982034328398224,0.45,0.9
125,S125,-1.1287474013804375,1.3291726327346138,0.45,0.9
126,S126,-3.1907525454316508,0.8115160337573173,0.45,0.9
127,S127,3.1139175543094266,1.192420676103825,0.45,0.9
128,S128,-2.8238720804262325,1.53409570798062,0.45,0.9
129,S129,3.0616875318046204,1.1685201270259287,0.45,0.9
130,S130,0.4101470869553203,3.2278894336276696,0.45,0.9
131,S131,-2.3538087383865194,3.4801186483526685,0.45,0.9
132,S132,-2.395669170549563,1.632224092721407,0.45,0.9
133,S133,0.06217323923566398,2.117770259021128,0.45,0.9
134,S134,-1.244149665159668,4.1979068514273585,0.45,0.9
135,S135,-4.19095284844079,1.4995022764259571,0.45,0.9
136,S136,-4.48027604965115,2.342836028304332,0.45,0.9
137,S137,-6.3810784261280435,2.3492850365407536,0.45,0.9
138,S138,-5.362185714342993,1.4588874651867763,0.45,0.9
139,S139,-6.857842401938344,1.364291081456287,0.45,0.9
140,S140,3.5093924586507033,5.4583320726416,0.45,0.9
141,S141,-0.550939621194954,5.01702789270152,0.45,0.9
142,S142,-10.760588959794362,0.642685198508392,0.45,0.9
143,S143,2.0661871019220275,4.462477144973168,0.45,0.9
144,S144,0.4606782221129425,5.664986728299621,0.45,0.9
145,S145,-14.55781711385882,0.6297862268315813,0.45,0.9
146,S146,-6.676732019596382,4.047178058440913,0.45,0.9
147,S147,-20.815957852490634,0.5167145885252274,0.45,0.9
148,S148,-19.30976349931183,0.5384417298189206,0.45,0.9
149,S149,-23.912570689232894,0.5072959896070924,0.45,0.9
150,S150,-6.78376392501679,1.082607519456265,0.45,0.9
151,S151,-2.325531598467645,1.2088309724404984,0.45,0.9
152,S152,-5.097589304859067,1.4293819262826926,0.45,0.9
153,S153,-7.120489230586589,1.005987013315528,0.45,0.9
154,S154,-8.820869872401913,1.1800710917232788,0.45,0.9
155,S155,-7.79532439545231,1.381828080045903,0.45,0.9
156,S156,-4.584747144271168,1.2017268906989274,0.45,0.9
157,S157,-2.8441706797793618,1.658278326709661,0.45,0.9
158,S158,-0.7776601759525095,1.377750657263918,0.45,0.9
159,S159,-3.06223170527024,1.4945653411760955,0.45,0.9
162,S162,-14.535644217923146,0.852953867283345,0.45,0.9
165,S165,-11.021539017250728,1.1224515359016112,0.45,0.9
167,S167,-11.095898649340882,0.9528413059637689,0.45,0.9
168,S168,-7.900336176023323,1.1769704280866933,0.45,0.9
169,S169,-8.435798164241557,1.2057585633427566,0.45,0.9
170,S170,-3.2222222854752616,1.3768821360207275,0.45,0.9
171,S171,-1.0840432479305089,1.3635498192362867,0.45,0.9
172,S172,0.4826330483054514,1.9513518880128295,0.45,0.9
173,S173,-3.8424233710213453,1.0457006385117869,0.45,0.9
174,S174,-3.8708471319995583,1.4262301939807929,0.45,0.9
175,S175,-1.3360002473767776,1.319659058033744,0.45,0.9
176,S176,-2.0520477903770384,1.1121077715187193,0.45,0.9
177,S177,1.9824852799744863,1.9009092763284403,0.45,0.9
178,S178,2.0680643647248846,1.2658722886246865,0.45,0.9
179,S179,1.1731049324553262,1.3385575104969227,0.45,0.9
180,S180,-6.320159144191887,0.7566404744384969,0.45,0.9
181,S181,-8.743568995166273,0.6912001957676369,0.45,0.9
182,S182,-1.9914731273462773,1.2317357905453332,0.45,0.9
183,S183,-5.558155437369866,0.7566400769171364,0.45,0.9
184,S184,-4.020083659885088,0.7695793443784331,0.45,0.9
185,S185,0.6847921663598405,1.3375776037703557,0.45,0.9
186,S186,-5.371140764153736,0.6985655008945246,0.45,0.9
187,S187,-1.1771850145954583,1.1632191671401546,0.45,0.9
188,S188,-3.264653651845488,1.3939386949102652,0.45,0.9
189,S189,-0.9066257805731301,1.3115457695308712,0.45,0.9
190,S190,-0.5879014471177098,1.2938780592193835,0.45,0.9
191,S191,-2.419813170523121,1.2653151528583777,0.45,0.9
192,S192,-6.963549510105208,0.5413066699186717,0.45,0.9
193,S193,-0.8433731935319755,1.1343454100243302,0.45,0.9
194,S194,-6.137621093745799,1.452687464251394,0.45,0.9
195,S195,-16.06812866141597,0.5542261945487633,0.45,0.9
196,S196,-12.0424513768535,1.009089576795956,0.45,0.9
197,S197,-13.761140000043772,0.4897349477545732,0.45,0.9
198,S198,-11.991120672970156,0.5621013904977951,0.45,0.9
199,S199,-20.819577149671332,0.4897358069306861,0.45,0.9
200,S200,-4.282723030894579,1.21201435455773,0.45,0.9
201,S201,-9.15082618509564,1.2995253503269826,0.45,0.9
202,S202,-4.819095637609665,0.9041871955299283,0.45,0.9
203,S203,-4.656919906187091,0.9042746278267142,0.45,0.9
204,S204,-3.7016200703802964,1.0241987574805549,0.45,0.9
205,S205,-4.534765523446406,0.7899250163428555,0.45,0.9
206,S206,-10.239797544979519,0.7280109800206807,0.45,0.9
207,S207,-9.191994363415159,0.7950574740130345,0.45,0.9
208,S208,-11.70516572640438,0.634255727933522,0.45,0.9
209,S209,-10.89712234105544,0.6287169498038313,0.45,0.9
210,S210,0.18686477812584942,1.5481529921026247,0.45,0.9
211,S211,-4.49668942758715,1.4800987765149656,0.45,0.9
212,S212,-0.15488490680859768,1.5065564547748602,0.45,0.9
213,S213,-0.1448865853489517,1.3755290614587934,0.45,0.9
214,S214,0.9306703402534248,1.499391564539858,0.45,0.9
215,S215,0.3140210653693334,1.3255446740298242,0.45,0.9
216,S216,-4.527754665480845,1.2815049089596855,0.45,0.9
217,S217,-4.095066785325208,1.4556056782372528,0.45,0.9
218,S218,-5.819213143806042,1.2573530688261527,0.45,0.9
219,S219,-4.890303802332072,1.2516965913830864,0.45,0.9
220,S220,-7.914657380237539,0.3864129919300795,0.45,0.9
221,S221,-7.6135733658307165,0.3896894589002355,0.45,0.9
222,S222,-2.5923084551126587,1.3994899113532282,0.45,0.9
223,S223,-7.108771126525998,0.23212281252920344,0.45,0.9
224,S224,-9.829710744675696,0.41665952836139303,0.45,0.9
225,S225,-4.331747650282954,2.33337731121187,0.45,0.9
226,S226,-8.53310187368225,0.3029605648391716,0.45,0.9
227,S227,-4.731840058558261,1.4371443417639571,0.45,0.9
228,S228,-2.019831113989079,1.7926928804621662,0.45,0.9
229,S229,-4.086734401375363,2.3500030724716874,0.45,0.9
230,S230,-12.273872545518289,1.0340428629358887,0.45,0.9
231,S231,-11.682543945808646,1.047183574682452,0.45,0.9
232,S232,-25.283050325473447,0.2838355036464832,0.45,0.9
233,S233,-10.64864602645127,1.156744219245734,0.45,0.9
234,S234,-5.967393232626427,1.0352910271595284,0.45,0.9
235,S235,-16.161358999317788,0.2615929428019533,0.45,0.9
236,S236,-5.0934637558172735,1.1166202217840389,0.45,0.9
237,S237,-18.749973829852372,0.29331447083546647,0.45,0.9
238,S238,-19.898712401692933,0.27132595847933777,0.45,0.9
239,S239,-15.624631461049503,0.26643471551984776,0.45,0.9
240,S240,-11.063065309904385,0.750956260241294,0.45,0.9
241,S241,-4.460434070943366,0.9155501268459009,0.45,0.9
242,S242,-13.794317970254808,0.3943459479615392,0.45,0.9
243,S243,-10.720591607229544,0.775302641779404,0.45,0.9
244,S244,-6.327306758814363,0.7164501466124475,0.45,0.9
245,S245,-9.378150586586694,0.32317794055485594,0.45,0.9
246,S246,0.4652984176157674,0.7076156095879732,0.45,0.9
247,S247,-2.6536595409777455,0.4110742633300183,0.45,0.9
248,S248,-6.745675188295808,0.4754948601762984,0.45,0.9
249,S249,-2.481189828285065,0.3785026669988741,0.45,0.9
250,S250,-0.10424938476819312,1.223956468498995,0.45,0.9
251,S251,-1.5646503524456388,1.2214321781993576,0.45,0.9
252,S252,-1.429604583248995,1.1347375637072246,0.45,0.9
253,S253,-0.07642768941410169,1.2373055051924184,0.45,0.9
254,S254,-2.840320477549974,1.2650073994757025,0.45,0.9
255,S255,-4.029104272088797,1.1308063787479135,0.45,0.9
256,S256,-4.411809930740044,1.2600492992647072,0.45,0.9
257,S257,-5.857020058101381,1.071248018878773,0.45,0.9
258,S258,-2.8742517367142995,1.1117544508878026,0.45,0.9
259,S259,-5.730556592108077,1.0870179509983737,0.45,0.9
260,S260,-9.131869659627073,0.126591184852853,0.45,0.9
261,S261,-13.557284263894376,0.09364325426850391,0.45,0.9
262,S262,-1.2969267736653034,3.386253841202257,0.45,0.9
263,S263,-8.805700113807237,0.126588985502377,0.45,0.9
264,S264,-8.026623990592782,0.14460530835735683,0.45,0.9
265,S265,0.5348492396383353,4.176249813887503,0.45,0.9
266,S266,-11.872253808929718,0.022039768970548178,0.45,0.9
267,S267,-4.358557699230798,3.201134387223583,0.45,0.9
268,S268,-5.249371188995552,4.956405732710535,0.45,0.9
269,S269,-3.850904995354609,4.83973897128468,0.45,0.9
270,S270,-6.121893596568328,1.1275823096851716,0.45,0.9
271,S271,-3.9781227590721464,1.1800591572245378,0.45,0.9
272,S272,-7.832039223089509,0.8713860042622071,0.45,0.9
273,S273,-5.983447641674277,1.154482045690898,0.45,0.9
274,S274,-4.424297927802509,1.113286656633026,0.45,0.9
275,S275,-6.052458855892279,0.879057168765095,0.45,0.9
276,S276,-2.362959392161719,1.1758442824279256,0.45,0.9
277,S277,-4.030542361107071,0.9297928540574322,0.45,0.9
278,S278,-5.494885811402113,0.940904523129448,0.45,0.9
279,S279,-3.984205277186639,0.9370290693985208,0.45,0.9
280,S280,-12.997657784140719,0.5660183657159162,0.45,0.9
281,S281,-9.545484800844203,0.6161943026226688,0.45,0.9
282,S282,4.026391712273748,3.721101728500295,0.45,0.9
283,S283,-8.593479614397545,0.5045615735799374,0.45,0.9
284,S284,-20.125716018995515,0.4982015796089276,0.45,0.9
285,S285,19.787147627784726,29.064336830364063,0.45,0.9
286,S286,-9.620537019834666,0.5661612042982891,0.45,0.9
287,S287,-0.7693135892071743,4.012795853240038,0.45,0.9
288,S288,29.123766769260655,20.4309054036991,0.45,0.9
289,S289,21.60033388316006,28.87915791796803,0.45,0.9
290,S290,-4.2561214415675215,1.473143383330247,0.45,0.9
291,S291,-10.988471214195005,1.17395442588774,0.45,0.9
292,S292,-5.565413507920321,1.221665603289632,0.45,0.9
293,S293,-4.752427320204657,1.3247333334030604,0.45,0.9
294,S294,-1.4502339162751596,1.388951045728483,0.45,0.9
295,S295,-3.021237783457148,1.0977681658470784,0.45,0.9
296,S296,-8.631032302981142,1.0932231190222363,0.45,0.9
297,S297,-9.231090422865899,0.9807522655045348,0.45,0.9
298,S298,-14.594760689221026,0.9004268009550612,0.45,0.9
299,S299,-10.362113897628744,0.8976891391024027,0.45,0.9
300,S300,-3.170737706199063,0.9457656746907842,0.45,0.9
301,S301,-4.7441192147134235,0.9037475089836531,0.45,0.9
302,S302,-0.3855687830506348,1.2396143628914182,0.45,0.9
303,S303,-2.9979656918306534,0.9849923770114842,0.45,0.9
305,S305,-0.2060320119448263,1.3695748462668262,0.45,0.9
306,S306,-4.384446712465689,0.9517684065363944,0.45,0.9
307,S307,-1.8260233965688044,1.2022129913258366,0.45,0.9
308,S308,-1.5493623544047073,1.3482641358978371,0.45,0.9
310,S310,-6.949619538878442,2.10277628426988,0.45,0.9
311,S311,-0.3082195769845424,2.0717819569029867,0.45,0.9
312,S312,-12.628668028126965,0.640043264769822,0.45,0.9
313,S313,-12.724246994992932,1.0936881582903244,0.45,0.9
