,Agent,Value,Consumption,i_a,m
0,S0,-23.59402131126753,0.9937006850795719,0.0,0.0
1,S1,-11.725671695257404,1.2534585238737042,0.0,0.0
2,S2,-23.223319313970983,1.273266432623101,0.0,0.0
3,S3,-20.213984382929294,1.1308753769867044,0.0,0.0
4,S4,-10.48015171660613,1.215324400483908,0.0,0.0
5,S5,-9.155591937924289,1.3779081790544454,0.0,0.0
6,S6,-3.6526363132215285,1.518097723801186,0.0,0.0
7,S7,-3.594336495460187,1.6187891651423858,0.0,0.0
8,S8,-10.386280617548504,1.6736563478230306,0.0,0.0
9,S9,-3.323101189912167,1.673330261329036,0.0,0.0
10,S10,-24.98664071218023,1.5819097567203022,0.0,0.0
11,S11,-23.02123318018742,1.7130138984824606,0.0,0.0
12,S12,-14.49798006872607,0.4380304536828364,0.0,0.0
13,S13,-19.590506344323835,2.2463953857939956,0.0,0.0
14,S14,-14.81121561492522,3.032301509009876,0.0,0.0
15,S15,-11.531215594394963,0.4380304536828364,0.0,0.0
16,S16,-11.47273496568496,3.440813037642873,0.0,0.0
17,S17,-12.432654126357914,0.4380304536828364,0.0,0.0
18,S18,-12.58735925083853,0.4380304536828364,0.0,0.0
19,S19,-11.084035344362206,0.4380304536828364,0.0,0.0
20,S20,1.1097363996908463,1.1415040938058127,0.0,0.0
21,S21,2.258991821428367,1.1860228934902601,0.0,0.0
22,S22,1.6226961348007312,1.3214876276945506,0.0,0.0
23,S23,1.084185423446782,1.1213579385639887,0.0,0.0
24,S24,-33.82828305341695,0.6378377490470671,0.0,0.0
25,S25,-60.79730985503226,0.6372481533679221,0.0,0.0
26,S26,-47.10624404054464,0.7032063572479648,0.0,0.0
27,S27,-28.216306759868157,0.9021381552405059,0.0,0.0
28,S28,2.59450252061658,1.3065870057028945,0.0,0.0
29,S29,-46.74422928867979,0.7318350826328142,0.0,0.0
30,S30,-10.161201885448268,3.5593696570009827,0.0,0.0
31,S31,-9.340500858978759,3.627094975394872,0.0,0.0
32,S32,-9.903275916881093,3.8949010236558728,0.0,0.0
33,S33,-14.871475601135343,2.495282938991428,0.0,0.0
34,S34,-5.112956366134207,3.961666284339596,0.0,0.0
35,S35,-7.267196811708741,2.354111746838719,0.0,0.0
36,S36,-6.470924237101558,2.3860236413584586,0.0,0.0
37,S37,-3.988305895532897,4.429490671325366,0.0,0.0
38,S38,-13.30558632185025,2.5712840552564846,0.0,0.0
39,S39,-6.253454995080478,2.4294900562452875,0.0,0.0
40,S40,-12.491069846993355,0.5241906460516872,0.0,0.0
41,S41,-13.118334409593082,0.5069163995612431,0.0,0.0
42,S42,-10.137519923091197,2.271962141142489,0.0,0.0
43,S43,-16.332905520731366,0.5241891360825992,0.0,0.0
44,S44,-25.329404836314076,0.25789469265539156,0.0,0.0
45,S45,-44.45773460480252,1.1333267094098287,0.0,0.0
46,S46,-48.874223776361106,0.24062189388315836,0.0,0.0
47,S47,-25.4403517448791,1.0993829771345065,0.0,0.0
48,S48,-14.774566284078114,1.5588603611768945,0.0,0.0
49,S49,-48.315647679834306,1.0993813441397038,0.0,0.0
50,S50,7.329848631231465,1.4285951569415942,0.0,0.0
51,S51,6.819762755710417,1.4653862575733212,0.0,0.0
52,S52,4.438744103939995,1.015258698783071,0.0,0.0
53,S53,9.344230625707029,1.5496861278434062,0.0,0.0
54,S54,-2.253296652405323,1.8348598570253738,0.0,0.0
55,S55,-3.4798401403632746,1.2971009648043124,0.0,0.0
56,S56,-1.8536442345685453,2.8079322102011326,0.0,0.0
57,S57,-4.796817196176138,1.0531313300550558,0.0,0.0
58,S58,4.770103953220573,0.8850123963023375,0.0,0.0
59,S59,-4.074507370568163,1.278300776294459,0.0,0.0
60,S60,-13.429854657832104,1.5575194089867892,0.0,0.0
61,S61,-13.908358752172466,1.533959028683169,0.0,0.0
62,S62,-13.193023623131529,1.8504229887720112,0.0,0.0
63,S63,-19.780772598766173,1.0665537385757444,0.0,0.0
64,S64,6.1118251743871905,1.3249045885198165,0.0,0.0
65,S65,5.99162945517955,1.4148175476580962,0.0,0.0
66,S66,5.131123010167907,1.3013439060733076,0.0,0.0
67,S67,6.337816427615047,1.4467021186058278,0.0,0.0
68,S68,-20.52220622170169,1.0394077493451688,0.0,0.0
69,S69,5.647678833955565,1.3955145818360692,0.0,0.0
70,S70,-6.090485909896136,2.1409607609041,0.0,0.0
71,S71,-7.644190038590421,2.0886266943767673,0.0,0.0
72,S72,-5.896708432379494,2.1409617760000965,0.0,0.0
73,S73,-2.743479781434928,5.397143532964508,0.0,0.0
74,S74,-14.928327608855115,1.8410055162916044,0.0,0.0
75,S75,-7.60714170982741,5.270711178148669,0.0,0.0
76,S76,-8.988825996303975,4.7467832023728045,0.0,0.0
77,S77,-17.3694560462805,2.1298177635405113,0.0,0.0
78,S78,-3.366965526625514,5.838661474481796,0.0,0.0
79,S79,-8.696181549422217,5.149687583084384,0.0,0.0
80,S80,-2.1711596419100805,0.8923505888703621,0.0,0.0
81,S81,0.38406482778737844,1.0191013121463373,0.0,0.0
82,S82,2.9412972765576986,3.5704749597841667,0.0,0.0
83,S83,-2.343950822412076,0.8923505860655615,0.0,0.0
