,Agent,Value,Consumption,i_a,m
0,S0,-7.632744304137883,1.7422568057960492,0.45,0.9
1,S1,1.3110534568771897,2.0332568678547567,0.45,0.9
2,S2,-6.862825758476919,1.8909444479643198,0.45,0.9
3,S3,-6.5188011513352295,1.9374285234212005,0.45,0.9
4,S4,-3.9866985083561817,1.6895199116375663,0.45,0.9
5,S5,-2.3972569662649823,2.0160099490332155,0.45,0.9
6,S6,4.429484856770419,2.040378806593752,0.45,0.9
7,S7,4.6594580002326715,2.0858576712133035,0.45,0.9
8,S8,2.4455793951813187,2.4081928035297797,0.45,0.9
9,S9,5.14861262326025,2.2363719600164242,0.45,0.9
10,S10,5.070889798152816,6.8968940225656645,0.45,0.9
11,S11,6.109758287928658,6.953558403505375,0.45,0.9
12,S12,-10.982812880374114,0.6238650591932938,0.45,0.9
13,S13,7.757100274294035,9.335333518649952,0.45,0.9
14,S14,7.165564390549,6.304118836093175,0.45,0.9
15,S15,-9.060248654910302,0.6308667103417499,0.45,0.9
16,S16,10.767961383762938,8.350953583268863,0.45,0.9
17,S17,-8.38908461091018,0.6388735151263149,0.45,0.9
18,S18,-9.27491796117688,0.6687638875063622,0.45,0.9
19,S19,-8.020185268668815,0.6388723469844662,0.45,0.9
20,S20,4.369641435372923,1.2816026585440252,0.45,0.9
21,S21,6.332364138102833,1.49610777791496,0.45,0.9
22,S22,6.5156003088802,1.5930344656418,0.45,0.9
23,S23,4.041645689432354,1.2723046097154516,0.45,0.9
24,S24,-2.5873926555153353,1.7886271384014454,0.45,0.9
25,S25,-2.4717815535771392,1.6661453833387196,0.45,0.9
26,S26,-1.7613749384546153,1.5138480072404354,0.45,0.9
27,S27,0.7899271384137576,2.2657440829616164,0.45,0.9
28,S28,6.9453622761608464,1.6064293537924392,0.45,0.9
29,S29,-0.4328701186660813,1.735164160223277,0.45,0.9
30,S30,10.769444050603186,12.293454439322376,0.45,0.9
31,S31,11.841556050235218,12.118824253670235,0.45,0.9
32,S32,12.192516667346355,13.648733528517466,0.45,0.9
33,S33,2.9727287756555203,4.384493114173317,0.45,0.9
34,S34,12.457665218637992,10.335527084224129,0.45,0.9
35,S35,5.717542449011795,4.318057377691731,0.45,0.9
36,S36,6.330473161986736,4.039341869609402,0.45,0.9
37,S37,15.020175232378353,11.294281321132353,0.45,0.9
38,S38,4.640359365099052,4.777068193895488,0.45,0.9
39,S39,6.853582988324673,4.354359623457395,0.45,0.9
40,S40,-7.050683470344154,1.0815211520908663,0.45,0.9
41,S41,-7.7413369323561,1.0620120745267339,0.45,0.9
42,S42,3.9820235551041203,3.6703759769033075,0.45,0.9
43,S43,-7.97925494775671,0.9770871227416543,0.45,0.9
44,S44,-8.703676848036444,1.1164796482757302,0.45,0.9
45,S45,-0.4354943911739293,2.822078316168067,0.45,0.9
46,S46,-11.06425461929307,0.9610117979958991,0.45,0.9
47,S47,1.1957485472159146,3.9277185205264322,0.45,0.9
48,S48,1.2851044885603997,2.6788385587825507,0.45,0.9
49,S49,-1.162445785476304,2.782281912584209,0.45,0.9
50,S50,9.822707851069195,2.298605131188721,0.45,0.9
51,S51,9.247822769469888,2.2468006057077345,0.45,0.9
52,S52,4.139523444916819,1.1659882505848858,0.45,0.9
53,S53,15.200765669189257,3.033693542553778,0.45,0.9
54,S54,7.041998310616826,2.446400904128011,0.45,0.9
55,S55,1.4081279944706728,1.4858687410063243,0.45,0.9
56,S56,9.534893644388228,3.5832839847820646,0.45,0.9
57,S57,0.10272468024124395,1.2438851613829787,0.45,0.9
58,S58,4.098912868108868,1.0102094421190977,0.45,0.9
59,S59,0.59064139457884,1.5168648130113815,0.45,0.9
60,S60,1.5976279545437762,3.5102153321912812,0.45,0.9
61,S61,1.0715020814545198,3.5146686810920116,0.45,0.9
62,S62,2.9852120064385055,4.127578046535292,0.45,0.9
63,S63,-0.08167924603806709,2.3738308279479474,0.45,0.9
64,S64,9.355345643874685,1.9161850870124473,0.45,0.9
65,S65,9.506808318296935,2.141389344094839,0.45,0.9
66,S66,7.576558216526011,1.6892926305980007,0.45,0.9
67,S67,10.26303759986219,2.3148396276748717,0.45,0.9
68,S68,0.2967723813080144,2.6755016271106737,0.45,0.9
69,S69,9.150445392399638,2.121563668912271,0.45,0.9
70,S70,5.129458256198973,3.0841681427675973,0.45,0.9
71,S71,3.458678868181856,2.9999971756072004,0.45,0.9
72,S72,5.422318668008717,3.2553698027417033,0.45,0.9
73,S73,15.820213339351138,10.351195922052252,0.45,0.9
74,S74,1.1658797997027153,3.3753192559597913,0.45,0.9
75,S75,14.253760366113596,14.98564297558014,0.45,0.9
76,S76,11.453639264988645,13.937768874862027,0.45,0.9
77,S77,-0.4232566270129292,3.447095321257665,0.45,0.9
78,S78,15.636932438053488,11.637116277358546,0.45,0.9
79,S79,12.793492329135617,15.238213133138563,0.45,0.9
80,S80,-1.9451553681780456,1.6595882074627941,0.45,0.9
81,S81,1.5912420646330232,1.4747001445525263,0.45,0.9
