,Agent,Value,Consumption,i_a,m
0,S0,-6.7772758658013394,2.3977546785929533,0.45,0.9
1,S1,2.411221961050323,2.6054569823002005,0.45,0.9
2,S2,-1.8492264599315154,4.415082434919265,0.45,0.9
3,S3,-4.75307230475266,3.3563991896591907,0.45,0.9
4,S4,-5.575926713892481,2.32198200995202,0.45,0.9
5,S5,2.9347260233083055,6.449000803947507,0.45,0.9
6,S6,4.431298701178096,3.104556768462075,0.45,0.9
7,S7,8.062281184114653,4.604833402672194,0.45,0.9
8,S8,9.969435351792352,6.895586965642102,0.45,0.9
9,S9,11.069816585993964,6.450553812494425,0.45,0.9
10,S10,9.025315533166712,2.7365666433536524,0.45,0.9
11,S11,5.3687880591122,2.353102383620594,0.45,0.9
12,S12,6.3687174088226755,1.6661560377914946,0.45,0.9
13,S13,11.363141674104185,3.2569134654547125,0.45,0.9
14,S14,-1.129702230368308,2.924137585565703,0.45,0.9
15,S15,-2.516776004366668,2.1653825536979965,0.45,0.9
16,S16,-3.30490367208947,3.681201992208061,0.45,0.9
17,S17,-9.34724395452656,1.636288156510986,0.45,0.9
18,S18,2.2422987298510737,1.5865280273365545,0.45,0.9
19,S19,-7.148919258554587,2.039732974190874,0.45,0.9
20,S20,-4.050119041254771,1.6869984464623908,0.45,0.9
21,S21,-6.8912601736632055,1.6261937184198698,0.45,0.9
22,S22,-5.362758730819213,1.3842026750848888,0.45,0.9
23,S23,-4.632466774617768,1.3836296768365601,0.45,0.9
24,S24,-3.4012121672437527,1.6202064524350777,0.45,0.9
25,S25,-5.181018441376329,1.171561020662944,0.45,0.9
26,S26,-7.086848847430733,1.268097113827944,0.45,0.9
27,S27,-7.542399286805652,1.2757924285412139,0.45,0.9
28,S28,-9.341910852719227,1.0868404433182486,0.45,0.9
29,S29,-8.487777965843362,1.072716707242462,0.45,0.9
30,S30,5.19900507269349,2.582026492187622,0.45,0.9
31,S31,9.586467424086338,2.9006943694344822,0.45,0.9
32,S32,4.976651754576375,2.4947799984573784,0.45,0.9
33,S33,3.1817542317506797,1.9471735392840046,0.45,0.9
34,S34,6.57452730387096,2.478495818519262,0.45,0.9
35,S35,4.4537822248744785,1.8775544100902297,0.45,0.9
36,S36,7.552404126436828,2.249696367991552,0.45,0.9
37,S37,10.269195984244718,2.681253806983007,0.45,0.9
38,S38,6.683954469282219,2.2547642115595585,0.45,0.9
39,S39,7.471632201706467,2.191992919975289,0.45,0.9
40,S40,6.8734674926494375,5.069383728096536,0.45,0.9
41,S41,11.003292357987792,5.787942788932847,0.45,0.9
42,S42,5.451309379406331,3.2445184198997263,0.45,0.9
43,S43,14.595389726701706,9.908800836004044,0.45,0.9
44,S44,4.324933477418742,5.299542718493943,0.45,0.9
45,S45,7.488844856068347,5.964098753324059,0.45,0.9
46,S46,16.00366114692428,11.305439540288718,0.45,0.9
47,S47,7.072710624351212,3.7113753261719817,0.45,0.9
48,S48,14.254118976322236,5.441844857391428,0.45,0.9
49,S49,11.704127541725425,6.092937578656546,0.45,0.9
50,S50,4.152275006352653,4.089963682556228,0.45,0.9
