,Agent,Value,Consumption,i_a,m
0,S0,-103.83645198037601,2.6489413134489355,0.0,0.0
1,S1,-55.44592241297184,3.982414416011552,0.0,0.0
2,S2,-99.23803851796897,8.428073691345531,0.0,0.0
3,S3,-33.47031067884893,8.550550304944881,0.0,0.0
4,S4,-27.92224088096831,4.572535573578648,0.0,0.0
5,S5,-14.203725345170037,26.1510911003854,0.0,0.0
6,S6,-8.49649482225356,8.99832963101844,0.0,0.0
7,S7,-9.396768111589825,15.09215827792422,0.0,0.0
8,S8,-22.82518309240363,24.061275436053588,0.0,0.0
9,S9,-3.8322525908149663,27.394608496367507,0.0,0.0
10,S10,11.864536209838583,3.333697707502261,0.0,0.0
11,S11,9.8882733086235,3.1548472219384673,0.0,0.0
12,S12,9.878492101005575,2.0476129145369497,0.0,0.0
13,S13,14.907191478447512,3.8360756387013253,0.0,0.0
14,S14,-17399152.345177736,0.005025925311788632,0.0,0.0
15,S15,-9256.464029069348,0.08056308107095325,0.0,0.0
16,S16,-9098.306654377775,0.23190366720373082,0.0,0.0
17,S17,-17915609.121885743,0.0022982211749124114,0.0,0.0
18,S18,8.644499256152713,2.219652604723353,0.0,0.0
19,S19,-9308.755426434067,0.0743869702175344,0.0,0.0
20,S20,-41.657972859021385,4.490176452597374,0.0,0.0
21,S21,-41.86013861981731,4.323220829157437,0.0,0.0
22,S22,-42.44165868145992,2.801948305564034,0.0,0.0
23,S23,-280.406512236349,0.6725352719226251,0.0,0.0
24,S24,-39.4512106238787,2.823512078195161,0.0,0.0
25,S25,-249.92605308445633,0.4054125141614058,0.0,0.0
26,S26,-253.93049031051837,0.41883590746033506,0.0,0.0
27,S27,-41.137638541021204,1.8120919956792507,0.0,0.0
28,S28,-287.36505078782955,0.33818358095826223,0.0,0.0
29,S29,-257.89544312638066,0.4188362628100681,0.0,0.0
30,S30,0.6544952601202461,5.38935988787157,0.0,0.0
31,S31,3.3165370649271337,5.6466397775947295,0.0,0.0
32,S32,0.5406425016160277,5.219431721877838,0.0,0.0
33,S33,-1.7393146703714764,3.2167383348864895,0.0,0.0
34,S34,5.652387593446823,4.352126913253642,0.0,0.0
35,S35,3.4362191511479505,2.906082129568958,0.0,0.0
36,S36,5.590497567147737,3.185678507761407,0.0,0.0
37,S37,7.911018230333387,4.381528838830375,0.0,0.0
38,S38,1.184337801461175,3.398910755921653,0.0,0.0
39,S39,5.535736489484691,3.1139886555402385,0.0,0.0
40,S40,-28.48690931035822,0.07423487186705749,0.0,0.0
41,S41,-21.915901798212012,0.07423520976828049,0.0,0.0
42,S42,-5.417144384688482,6.692195152822043,0.0,0.0
43,S43,-15.745370850729081,0.07423537373041696,0.0,0.0
44,S44,-73.98907725023795,0.07423537373041696,0.0,0.0
45,S45,-45.69519268924544,18.807761012256602,0.0,0.0
46,S46,-28.023019500325272,0.07423537373041696,0.0,0.0
47,S47,-58.95740773437443,5.419189493930727,0.0,0.0
48,S48,3.785671054669005,17.266020533781116,0.0,0.0
49,S49,-21.75689590660232,23.903205050611923,0.0,0.0
50,S50,-79.54236586003172,7.386007766825661,0.0,0.0
51,S51,-79.92916515224817,6.966999551575076,0.0,0.0
52,S52,-79.90273106902002,6.123599818407884,0.0,0.0
53,S53,-770650.9715122473,0.01716840133651294,0.0,0.0
54,S54,18.99224011154237,3.193596138157441,0.0,0.0
55,S55,13.230859686968145,2.609914619699711,0.0,0.0
56,S56,11.36823602439503,2.5391099101883263,0.0,0.0
57,S57,15.19659430323997,2.986759581735383,0.0,0.0
58,S58,-775107.2206882077,0.017881342119808425,0.0,0.0
59,S59,11.180187294588974,2.447214732011815,0.0,0.0
60,S60,4.840429667955797,2.927165221337465,0.0,0.0
61,S61,2.7627459208173795,2.874694753522059,0.0,0.0
62,S62,4.2817187525065314,2.66713825939467,0.0,0.0
63,S63,7.060856174367213,4.366832150478827,0.0,0.0
64,S64,-4.913717554662428,3.4542391980539007,0.0,0.0
65,S65,-2.0163125807851316,6.963767270918603,0.0,0.0
66,S66,-3.535557662416896,7.405622363320136,0.0,0.0
67,S67,-8.432179561843586,3.1124744948210648,0.0,0.0
68,S68,4.0045717737084106,4.526134581225095,0.0,0.0
69,S69,-4.292440273469423,6.696455107426996,0.0,0.0
70,S70,-8.356603862847228,34.00696000171624,0.0,0.0
71,S71,-7.8687064890758105,32.11877235933319,0.0,0.0
72,S72,-8.909645813848892,32.425178250293634,0.0,0.0
73,S73,-601.0699740987238,1.7508496264628586,0.0,0.0
74,S74,-9.031407262708758,35.67362806597236,0.0,0.0
75,S75,-689.2728056386713,2.2186174672090724,0.0,0.0
76,S76,-678.8252171110153,2.325474951716141,0.0,0.0
77,S77,-9.267082338321028,34.69170417550123,0.0,0.0
78,S78,-572.8289760983436,1.7381394140911834,0.0,0.0
79,S79,-679.4114245085275,2.2327416526634924,0.0,0.0
80,S80,-306.24233544625986,0.8309825541591667,0.0,0.0
81,S81,-306.3663812969825,0.7709776483594889,0.0,0.0
82,S82,-301.86717111162284,5.402399428549792,0.0,0.0
83,S83,-58.63577004367531,4.570404762460756,0.0,0.0
84,S84,-154.66107199980465,0.8309815261899238,0.0,0.0
85,S85,-38.08048252948759,8.250959037662042,0.0,0.0
86,S86,-44.44576112822594,2.770978043142155,0.0,0.0
87,S87,-155.59440197949533,3.1522159030933237,0.0,0.0
88,S88,-54.65869467866573,18.155381755248143,0.0,0.0
89,S89,-39.039995815257654,8.155388037466187,0.0,0.0
90,S90,46.86234906770531,34.44820166479991,0.0,0.0
91,S91,46.59355181409391,34.44820166479991,0.0,0.0
92,S92,-10.768311920439976,1.0767756135144355,0.0,0.0
93,S93,-14.902379025559188,6.340242515463531,0.0,0.0
94,S94,60.48983250291741,34.44820166479991,0.0,0.0
95,S95,-0.42307244834170155,0.9791459914859281,0.0,0.0
96,S96,7.034286644508981,4.458656963798418,0.0,0.0
